post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
150409663.guia-de-supervivencia-para-proyectos,,false,,,newsletter,everyone,,,
150408646.guia-de-supervivencia-para-proyectos,,false,,,newsletter,everyone,,,
150408185.guia-de-supervivencia-para-proyectos,,false,,,newsletter,everyone,,,
150407421.guia-de-supervivencia-para-proyectos,,false,,,newsletter,everyone,,,
150406942.guia-de-supervivencia-para-proyectos,,false,,,newsletter,everyone,,,
150406427.guia-de-supervivencia-para-proyectos-82c,,false,,,newsletter,everyone,,,
150303513.demostrar-o-probar,2024-10-25T15:18:58.345Z,true,2024-10-25T15:18:58.446Z,2024-10-25T15:18:58.446Z,newsletter,everyone,¿Demostrar o probar?,¿Qué significa realmente validar un proyecto o idea de innovación?,
150303246.pensando-como-cientificos,2024-10-18T14:54:22.057Z,true,2024-10-18T14:54:22.166Z,2024-10-18T14:54:22.166Z,newsletter,everyone,Pensando como Científicos,Sin una buena hipótesis es (casi) imposible diseñar un buen experimento,
150256424.guia-de-supervivencia-para-proyectos-ed2,,false,,,newsletter,everyone,,,
150255819.guia-de-supervivencia-para-proyectos-8cc,,false,,,newsletter,everyone,,,
150255424.guia-de-supervivencia-para-proyectos-167,2024-10-24T13:39:03.129Z,true,2024-10-24T13:39:03.722Z,2024-10-24T13:39:03.722Z,newsletter,everyone,Guía de Supervivencia para Proyectos Monstruo: El Blob,¿Será un producto? ¿Un servicio? ¿Explorar un nuevo mercado? Nadie lo sabe,
150210432.guia-de-supervivencia-para-proyectos-8e9,2024-10-22T16:38:57.669Z,true,2024-10-22T16:38:57.789Z,2024-10-22T16:38:57.789Z,newsletter,everyone,Guía de Supervivencia para Proyectos Monstruo: El Gato de Schrödinger,¿Está vivo? ¿Está muerto? Mientras no lo observemos no lo sabremos.,
